"","country","lfs","confidence","fb","fbpop_19","pop","unemp_17","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","alg","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"1","Austria",19000,6000,12000,3800000,7577532,6.01416666666667,5.15227272727273,2000,-6700,2.5,1.9,0.498517459246625,0.477241379310345,18246445.15,9800,-3875,0.415288125314645,0.204081632653061,-1.72903225806452,1.31578947368421,1.1672842229084
"2","Belgium",35000,9000,19000,7000000,9504158,9.1825,5.15227272727273,1900,-900,2,1.9,0.263480257798745,0.441803278688525,18246445.15,9800,-3875,0.520877240573077,0.193877551020408,-0.232258064516129,1.05263157894737,1.78222320247022
"3","Czech Republic",50000,11000,53000,5200000,8953469,4.61060606060606,5.15227272727273,3200,0,4.4,1.9,0.419219522623019,0.43731778425656,18246445.15,9800,-3875,0.490696622075999,0.326530612244898,0,2.31578947368421,0.894868401705631
"4","Denmark",24000,7000,17000,3800000,4846070,6.5425,5.15227272727273,2400,-2100,2,1.9,0.215859448996816,0.398608349900596,18246445.15,9800,-3875,0.265589815449614,0.244897959183673,-0.541935483870968,1.05263157894737,1.26982796647552
"5","Finland",15000,6000,12000,2900000,4636217,10.2375,5.15227272727273,2700,0,3.1,1.9,0.374490020635359,0.480769230769231,18246445.15,9800,-3875,0.254088780685042,0.275510204081633,0,1.63157894736842,1.98698720776356
"6","France",178000,20000,140000,35000000,54979583,11.3425,5.15227272727273,14200,-200,2.3,1.9,0.363400046158953,0.559887213436312,18246445.15,9800,-3875,3.01316681403007,1.44897959183673,-0.0516129032258065,1.21052631578947,2.20145566828408
"7","Germany",309000,26000,97000,32000000,71702712,4.3175,5.15227272727273,11600,-9500,2.5,1.9,0.5537128358548,0.692192192192192,18246445.15,9800,-3875,3.92968117408886,1.18367346938776,-2.45161290322581,1.31578947368421,0.837979708866343
"8","Greece",67000,12000,3500,5500000,9181616,24.8295454545455,5.15227272727273,10000,-4600,1.5,1.9,0.400976908640048,0.439873417721519,18246445.15,9800,-3875,0.503200263093439,1.02040816326531,-1.18709677419355,0.789473684210526,4.8191442434936
"9","Hungary",84000,14000,110000,5800000,8336050,6.3275,5.15227272727273,7500,-500,4.3,1.9,0.30422682205601,0.440423162583519,18246445.15,9800,-3875,0.456858852859895,0.76530612244898,-0.129032258064516,2.26315789473684,1.22809880899868
"10","Ireland",380000,29000,180000,2900000,3897385,7.945,5.15227272727273,6700,-8600,8.1,1.9,0.255911335421058,0.429342702887994,18246445.15,9800,-3875,0.213596948225282,0.683673469387755,-2.21935483870968,4.26315789473684,1.54203793559771
"11","Italy",237000,23000,220000,31000000,52408752,15.1909090909091,5.15227272727273,16600,-200,1.7,1.9,0.408495741321984,0.468220212064937,18246445.15,9800,-3875,2.87227191757952,1.69387755102041,-0.0516129032258065,0.894736842105263,2.94838994265549
"12","Latvia",96000,15000,86000,910000,1614068,9.12314814814815,5.15227272727273,3000,-1100,3.8,1.9,0.436207148645534,0.528467153284672,18246445.15,9800,-3875,0.0884593128541534,0.306122448979592,-0.283870967741935,2,1.7707036546913
"13","Lithuania",184000,20000,180000,1600000,2371745,7.35,5.15227272727273,7400,-100,4.2,1.9,0.325391220388364,0.314983508716821,18246445.15,9800,-3875,0.129983949229694,0.755102040816326,-0.0258064516129032,2.21052631578947,1.42655491839435
"14","Netherlands",72000,13000,44000,9800000,14539034,5.12272727272727,5.15227272727273,5200,0,2.9,1.9,0.325952466993337,0.554137931034483,18246445.15,9800,-3875,0.796814605830221,0.530612244897959,0,1.52631578947368,0.994265549183944
"15","Poland",889000,45000,740000,17000000,32127259,6.9175,5.15227272727273,24000,-23600,4.9,1.9,0.470854329651963,0.530212223335459,18246445.15,9800,-3875,1.76074072159749,2.44897959183673,-6.09032258064516,2.57894736842105,1.34261138067931
"16","Portugal",132000,17000,150000,6300000,8872377,12.2725,5.15227272727273,9500,-3600,3.5,1.9,0.289930984672991,0.427901762967492,18246445.15,9800,-3875,0.486252359134185,0.969387755102041,-0.929032258064516,1.84210526315789,2.38195853550948
"17","Romania",410000,30000,570000,10000000,16376892,7.51916666666667,5.15227272727273,48400,-14000,7.1,1.9,0.389383528938214,0.430775895859551,18246445.15,9800,-3875,0.897538773463499,4.93877551020408,-3.61290322580645,3.73684210526316,1.45938832524629
"18","Slovakia",84000,14000,78000,2600000,4592647,11.755,5.15227272727273,3500,-500,3,1.9,0.433877674465292,0.539130434782609,18246445.15,9800,-3875,0.251700918301886,0.357142857142857,-0.129032258064516,1.57894736842105,2.28151742390825
"19","Spain",155000,19000,160000,24000000,40001248,20.2659090909091,5.15227272727273,15600,-1200,2.9,1.9,0.400018719415954,0.557963260210451,18246445.15,9800,-3875,2.19227623085804,1.59183673469388,-0.309677419354839,1.52631578947368,3.9333921482135
"20","Sweden",35000,9000,31000,6400000,8410089,7.98181818181818,5.15227272727273,600,-100,2.4,1.9,0.239009242351656,0.515348837209302,18246445.15,9800,-3875,0.460916574755385,0.0612244897959184,-0.0258064516129032,1.26315789473684,1.54918394353772
