"","country","lfs","confidence","fb","fbpop_20","pop","unemp_18","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"1","Austria",19000,7000,3300,3600000,7616884,5.38,4.75681818181818,300,-900,2.4,1.3,0.527365783698426,18277203.05,6795,-4825,0.416742319881378,0.0441501103752759,-0.186528497409326,1.84615384615385,1.13100812231247
"2","Belgium",33000,9000,6400,6600000,9548117,7.565,4.75681818181818,1600,-500,1.5,1.3,0.308764230685485,18277203.05,6795,-4825,0.522405806505498,0.235467255334805,-0.103626943005181,1.15384615384615,1.59034878165313
"3","Czech Republic",44000,10000,20000,5000000,8960412,3.72045454545455,4.75681818181818,1000,-1700,2.8,1.3,0.441989944212387,18277203.05,6795,-4825,0.490250722470362,0.147167034584253,-0.352331606217617,2.15384615384615,0.782130912565695
"4","Denmark",24000,7000,5700,3700000,4878400,5.745,4.75681818181818,300,-800,2.4,1.3,0.241554608068219,18277203.05,6795,-4825,0.266911736257151,0.0441501103752759,-0.16580310880829,1.84615384615385,1.20774008600096
"5","Finland",21000,7000,3300,2700000,4653993,8.825,4.75681818181818,100,-300,1.7,1.3,0.419853016538701,18277203.05,6795,-4825,0.254633763561542,0.0147167034584253,-0.0621761658031088,1.30769230769231,1.85523172479694
"6","France",183000,21000,44000,32000000,55220127,10.89,4.75681818181818,13500,-11900,1.7,1.3,0.420501151690578,18277203.05,6795,-4825,3.02125696415021,1.98675496688742,-2.46632124352332,1.30769230769231,2.28934543717152
"7","Germany",305000,27000,28000,28000000,71750738,3.905,4.75681818181818,10000,-7100,1.5,1.3,0.609760111456972,18277203.05,6795,-4825,3.92569573165627,1.47167034584253,-1.47150259067358,1.15384615384615,0.820926899187769
"8","Greece",74000,13000,1300,5300000,9168288,22.4227272727273,4.75681818181818,7900,-4600,1.9,1.3,0.421920428328604,18277203.05,6795,-4825,0.501624235115121,1.1626195732156,-0.953367875647668,1.46153846153846,4.71380793119924
"9","Hungary",86000,14000,40000,5600000,8318314,5.74,4.75681818181818,4800,-4500,5.1,1.3,0.326786654122458,18277203.05,6795,-4825,0.455119636042999,0.706401766004415,-0.932642487046632,3.92307692307692,1.2066889632107
"10","Ireland",358000,29000,66000,2700000,3941309,7.0725,4.75681818181818,7000,-1200,8.2,1.3,0.314948409272148,18277203.05,6795,-4825,0.215640707673814,1.03016924208977,-0.248704663212435,6.30769230769231,1.48681318681319
"11","Italy",246000,24000,89000,30000000,52413578,14.4340909090909,4.75681818181818,21500,-5300,0.8,1.3,0.427629229967853,18277203.05,6795,-4825,2.86770234245442,3.16409124356144,-1.09844559585492,0.615384615384615,3.03440038222647
"12","Latvia",90000,14000,40000,880000,1598457,7.74722222222222,4.75681818181818,200,-500,4.6,1.3,0.449469081745709,18277203.05,6795,-4825,0.0874563244511309,0.0294334069168506,-0.103626943005181,3.53846153846154,1.6286563677868
"13","Lithuania",186000,21000,86000,1600000,2337940,6.46944444444444,4.75681818181818,2300,-2500,3.6,1.3,0.315636842690574,18277203.05,6795,-4825,0.127915633130749,0.338484179543782,-0.518134715025907,2.76923076923077,1.36003609916653
"14","Netherlands",78000,14000,14000,8900000,14616596,4.09545454545455,4.75681818181818,1700,-7300,2.6,1.3,0.391103099517836,18277203.05,6795,-4825,0.799717328740844,0.25018395879323,-1.51295336787565,2,0.860965121834687
"15","Poland",827000,44000,300000,16000000,32069970,5.25227272727273,4.75681818181818,17300,-22800,5.1,1.3,0.501090895937851,18277203.05,6795,-4825,1.75464319744481,2.54598969830758,-4.72538860103627,3.92307692307692,1.10415671285237
"16","Portugal",149000,19000,63000,6100000,8878389,10.17,4.75681818181818,7300,-2100,2.4,1.3,0.312938417093461,18277203.05,6795,-4825,0.485763000811002,1.07431935246505,-0.435233160621762,1.84615384615385,2.13798375537506
"17","Romania",434000,32000,290000,10000000,16277437,6.72,4.75681818181818,24800,-5100,4.4,1.3,0.38565266755448,18277203.05,6795,-4825,0.890586866900294,3.64974245768948,-1.05699481865285,3.38461538461538,1.41270903010033
"18","Slovakia",64000,12000,31000,2500000,4594332,9.5275,4.75681818181818,1200,-3500,4,1.3,0.455851253239862,18277203.05,6795,-4825,0.251369533261272,0.176600441501104,-0.725388601036269,3.07692307692308,2.00291447682752
"19","Spain",146000,18000,56000,22000000,40198119,18.2068181818182,4.75681818181818,13100,-11900,2.4,1.3,0.452710710170294,18277203.05,6795,-4825,2.19935834219449,1.92788815305372,-2.46632124352332,1.84615384615385,3.82752030578118
"20","Sweden",51000,11000,10000,6000000,8502661,7.66666666666667,4.75681818181818,0,-2000,2.2,1.3,0.294338560598853,18277203.05,6795,-4825,0.465205807296648,0,-0.414507772020725,1.69230769230769,1.61172161172161
