"","country","gender","lfs","confidence","fb","fbpop_19","pop","unemp_17","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","alg","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"1","Austria","Female",10000,5000,5300,1900000,3877055,6.00555555555556,5.1975,10900,-2600,2.5,1.9,0.509937310664925,0.405128205128205,9412938.85,3315,-1625,0.411885709849268,3.28808446455505,-1.6,1.31578947368421,1.15547004435893
"2","Austria","Male",9000,5000,6100,1900000,3700477,6.42666666666667,5.44318181818182,7500,-4000,2.5,1.9,0.486552679559959,0.45,8833506.3,5050,-2245,0.418913721723389,1.48514851485149,-1.78173719376392,1.31578947368421,1.1806819763396
"3","Belgium","Female",20000,7000,9400,3500000,4857760,7.78611111111111,5.1975,2500,-400,2,1.9,0.279503310167649,0.491477272727273,9412938.85,3315,-1625,0.516072618489389,0.754147812971342,-0.246153846153846,1.05263157894737,1.49804927582705
"4","Belgium","Male",16000,6000,9600,3500000,4646398,9.47,5.44318181818182,600,-500,2,1.9,0.246728325898901,0.48,8833506.3,5050,-2245,0.525997021137575,0.118811881188119,-0.22271714922049,1.05263157894737,1.73979123173278
"5","Czech Republic","Female",36000,9000,23000,2700000,4582379,5.45227272727273,5.1975,2100,0,4.4,1.9,0.41078640592583,0.536,9412938.85,3315,-1625,0.486817036955467,0.633484162895928,0,2.31578947368421,1.04901832174559
"6","Czech Republic","Male",15000,6000,30000,2500000,4371090,4.025,5.44318181818182,0,0,4.4,1.9,0.428060277871195,0.486390532544379,8833506.3,5050,-2245,0.494830688013434,0,0,2.31578947368421,0.739457202505219
"7","Denmark","Female",13000,5000,7200,1900000,2448823,6.7425,5.1975,1800,-600,2,1.9,0.224117055418052,0.504166666666667,9412938.85,3315,-1625,0.260154988683476,0.542986425339366,-0.369230769230769,1.05263157894737,1.2972582972583
"8","Denmark","Male",11000,5000,9600,1800000,2397247,6.5475,5.44318181818182,5700,-1500,2,1.9,0.249138699516571,0.510679611650485,8833506.3,5050,-2245,0.271381138880265,1.12871287128713,-0.66815144766147,1.05263157894737,1.20288100208768
"9","Finland","Female",10000,5000,3400,1500000,2365004,9.8,5.1975,500,0,3.1,1.9,0.365751601265791,0.501792114695341,9412938.85,3315,-1625,0.251250330814589,0.150829562594268,0,1.63157894736842,1.88552188552189
"10","Finland","Male",5000,3000,7900,1300000,2271213,10.725,5.44318181818182,0,0,3.1,1.9,0.42761863374329,0.396551724137931,8833506.3,5050,-2245,0.257113418258387,0,0,1.63157894736842,1.97035490605428
