"","country","lfs","gender","confidence","fb","fbpop_20","pop","unemp_18","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"1","Austria",12000,"Female",5000,1800,1800000,3894281,5.53888888888889,4.9225,300,-900,2.4,1.3,0.537783739796897,9425521.5,3320,-2315,0.413163452016952,0.0903614457831325,-0.388768898488121,1.84615384615385,1.12521866711811
"2","Austria",7000,"Male",4000,1500,1800000,3722603,5.565,4.91893939393939,0,-900,2.4,1.3,0.516467375113597,8851681.55,3645,-3535,0.420553199860652,0,-0.254596888260255,1.84615384615385,1.13134144463268
"3","Belgium",19000,"Female",7000,2840,3300000,4877528,7.84444444444444,4.9225,800,-500,1.5,1.3,0.323427769148634,9425521.5,3320,-2315,0.517480969090145,0.240963855421687,-0.215982721382289,1.15384615384615,1.59358952655042
"4","Belgium",14000,"Male",6000,3100,3200000,4670589,8.1325,4.91893939393939,900,-500,1.5,1.3,0.314861573133496,8851681.55,3645,-3535,0.527649913026977,0.246913580246914,-0.141442715700141,1.15384615384615,1.6533035576775
"5","Czech Republic",26000,"Female",8000,11000,2600000,4585210,4.15681818181818,4.9225,600,-1700,2.8,1.3,0.432959450057904,9425521.5,3320,-2315,0.48646751269943,0.180722891566265,-0.734341252699784,2.15384615384615,0.84445265247703
"6","Czech Republic",18000,"Male",6000,8400,2400000,4375202,3.7225,4.91893939393939,400,-1700,2.8,1.3,0.451453898585711,8851681.55,3645,-3535,0.494279191505709,0.109739368998628,-0.480905233380481,2.15384615384615,0.756768827968582
"7","Denmark",13000,"Female",5000,3400,1900000,2464509,5.90916666666667,4.9225,300,-800,2.4,1.3,0.229055361534488,9425521.5,3320,-2315,0.261471898398407,0.0903614457831325,-0.345572354211663,1.84615384615385,1.20044015574742
"8","Denmark",11000,"Male",5000,2300,1800000,2413891,5.9175,4.91893939393939,0,-800,2.4,1.3,0.254315957099968,8851681.55,3645,-3535,0.272704229853366,0,-0.226308345120226,1.84615384615385,1.20300323425227
"9","Finland",14000,"Female",6000,2400,1400000,2373396,8.5725,4.9225,0,-300,1.7,1.3,0.410127934824193,9425521.5,3320,-2315,0.25180527146429,0,-0.129589632829374,1.30769230769231,1.74149314372778
"10","Finland",8000,"Male",4000,1000,1200000,2280597,9.12,4.91893939393939,100,-300,1.7,1.3,0.473821986085222,8851681.55,3645,-3535,0.257645622147353,0.0274348422496571,-0.0848656294200849,1.30769230769231,1.85405821654089
