"","country","y","2.5%","25%","75%","97.5%","source","year"
"true.stock[1]","Austria",19000,13000,16936.7346938776,21063.2653061224,25000,"LFS","2018"
"true.stock[2]","Belgium",35000,26000,31905.1020408163,38094.8979591837,44000,"LFS","2018"
"true.stock[3]","Czech Republic",50000,39000,46217.3469387755,53782.6530612245,61000,"LFS","2018"
"true.stock[4]","Latvia",96000,81000,90841.8367346939,101158.163265306,111000,"LFS","2018"
"true.stock[5]","Sweden",35000,26000,31905.1020408163,38094.8979591837,44000,"LFS","2018"
"true.stock[6]","France",178000,158000,171122.448979592,184877.551020408,198000,"LFS","2018"
"true.stock[7]","Germany",309000,283000,300059.183673469,317940.816326531,335000,"LFS","2018"
"true.stock[8]","Hungary",84000,70000,79185.7142857143,88814.2857142857,98000,"LFS","2018"
"true.stock[9]","Lithuania",184000,164000,177122.448979592,190877.551020408,204000,"LFS","2018"
"true.stock[10]","Denmark",24000,17000,21592.8571428571,26407.1428571429,31000,"LFS","2018"
"true.stock[11]","Finland",15000,9000,12936.7346938776,17063.2653061224,21000,"LFS","2018"
"true.stock[12]","Ireland",380000,351000,370027.551020408,389972.448979592,409000,"LFS","2018"
"true.stock[13]","Italy",237000,214000,229090.816326531,244909.183673469,260000,"LFS","2018"
"true.stock[14]","Netherlands",72000,59000,67529.5918367347,76470.4081632653,85000,"LFS","2018"
"true.stock[15]","Poland",889000,844000,873525.510204082,904474.489795918,934000,"LFS","2018"
"true.stock[16]","Portugal",132000,115000,126154.081632653,137845.918367347,149000,"LFS","2018"
"true.stock[17]","Romania",410000,380000,399683.673469388,420316.326530612,440000,"LFS","2018"
"true.stock[18]","Slovakia",84000,70000,79185.7142857143,88814.2857142857,98000,"LFS","2018"
"true.stock[19]","Spain",155000,136000,148466.326530612,161533.673469388,174000,"LFS","2018"
"true.stock[20]","Greece",67000,55000,62873.4693877551,71126.5306122449,79000,"LFS","2018"
"true.stock[21]","Austria",19000,12000,16592.8571428571,21407.1428571429,26000,"LFS","2019"
"true.stock[22]","Belgium",33000,24000,29905.1020408163,36094.8979591837,42000,"LFS","2019"
"true.stock[23]","Czech Republic",44000,34000,40561.2244897959,47438.7755102041,54000,"LFS","2019"
"true.stock[24]","Latvia",90000,76000,85185.7142857143,94814.2857142857,104000,"LFS","2019"
"true.stock[25]","Sweden",51000,40000,47217.3469387755,54782.6530612245,62000,"LFS","2019"
"true.stock[26]","France",183000,162000,175778.571428571,190221.428571429,204000,"LFS","2019"
"true.stock[27]","Germany",305000,278000,295715.306122449,314284.693877551,332000,"LFS","2019"
"true.stock[28]","Hungary",86000,72000,81185.7142857143,90814.2857142857,100000,"LFS","2019"
"true.stock[29]","Lithuania",186000,165000,178778.571428571,193221.428571429,207000,"LFS","2019"
"true.stock[30]","Denmark",24000,17000,21592.8571428571,26407.1428571429,31000,"LFS","2019"
"true.stock[31]","Finland",21000,14000,18592.8571428571,23407.1428571429,28000,"LFS","2019"
"true.stock[32]","Ireland",358000,329000,348027.551020408,367972.448979592,387000,"LFS","2019"
"true.stock[33]","Italy",246000,222000,237746.93877551,254253.06122449,270000,"LFS","2019"
"true.stock[34]","Netherlands",78000,64000,73185.7142857143,82814.2857142857,92000,"LFS","2019"
"true.stock[35]","Poland",827000,783000,811869.387755102,842130.612244898,871000,"LFS","2019"
"true.stock[36]","Portugal",149000,130000,142466.326530612,155533.673469388,168000,"LFS","2019"
"true.stock[37]","Romania",434000,402000,422995.918367347,445004.081632653,466000,"LFS","2019"
"true.stock[38]","Slovakia",64000,52000,59873.4693877551,68126.5306122449,76000,"LFS","2019"
"true.stock[39]","Spain",146000,128000,139810.204081633,152189.795918367,164000,"LFS","2019"
"true.stock[40]","Greece",74000,61000,69529.5918367347,78470.4081632653,87000,"LFS","2019"
"true.stock[1]1","Austria",12000,12000,12000,12000,12000,"Facebook","2018"
"true.stock[2]1","Belgium",19000,19000,19000,19000,19000,"Facebook","2018"
"true.stock[3]1","Czech Republic",53000,53000,53000,53000,53000,"Facebook","2018"
"true.stock[4]1","Latvia",86000,86000,86000,86000,86000,"Facebook","2018"
"true.stock[5]1","Sweden",31000,31000,31000,31000,31000,"Facebook","2018"
"true.stock[6]1","France",140000,140000,140000,140000,140000,"Facebook","2018"
"true.stock[7]1","Germany",97000,97000,97000,97000,97000,"Facebook","2018"
"true.stock[8]1","Hungary",110000,110000,110000,110000,110000,"Facebook","2018"
"true.stock[9]1","Lithuania",180000,180000,180000,180000,180000,"Facebook","2018"
"true.stock[10]1","Denmark",17000,17000,17000,17000,17000,"Facebook","2018"
"true.stock[11]1","Finland",12000,12000,12000,12000,12000,"Facebook","2018"
"true.stock[12]1","Ireland",180000,180000,180000,180000,180000,"Facebook","2018"
"true.stock[13]1","Italy",220000,220000,220000,220000,220000,"Facebook","2018"
"true.stock[14]1","Netherlands",44000,44000,44000,44000,44000,"Facebook","2018"
"true.stock[15]1","Poland",740000,740000,740000,740000,740000,"Facebook","2018"
"true.stock[16]1","Portugal",150000,150000,150000,150000,150000,"Facebook","2018"
"true.stock[17]1","Romania",570000,570000,570000,570000,570000,"Facebook","2018"
"true.stock[18]1","Slovakia",78000,78000,78000,78000,78000,"Facebook","2018"
"true.stock[19]1","Spain",160000,160000,160000,160000,160000,"Facebook","2018"
"true.stock[20]1","Greece",3500,3500,3500,3500,3500,"Facebook","2018"
"true.stock[21]1","Austria",3300,3300,3300,3300,3300,"Facebook","2019"
"true.stock[22]1","Belgium",6400,6400,6400,6400,6400,"Facebook","2019"
"true.stock[23]1","Czech Republic",20000,20000,20000,20000,20000,"Facebook","2019"
"true.stock[24]1","Latvia",40000,40000,40000,40000,40000,"Facebook","2019"
"true.stock[25]1","Sweden",10000,10000,10000,10000,10000,"Facebook","2019"
"true.stock[26]1","France",44000,44000,44000,44000,44000,"Facebook","2019"
"true.stock[27]1","Germany",28000,28000,28000,28000,28000,"Facebook","2019"
"true.stock[28]1","Hungary",40000,40000,40000,40000,40000,"Facebook","2019"
"true.stock[29]1","Lithuania",86000,86000,86000,86000,86000,"Facebook","2019"
"true.stock[30]1","Denmark",5700,5700,5700,5700,5700,"Facebook","2019"
"true.stock[31]1","Finland",3300,3300,3300,3300,3300,"Facebook","2019"
"true.stock[32]1","Ireland",66000,66000,66000,66000,66000,"Facebook","2019"
"true.stock[33]1","Italy",89000,89000,89000,89000,89000,"Facebook","2019"
"true.stock[34]1","Netherlands",14000,14000,14000,14000,14000,"Facebook","2019"
"true.stock[35]1","Poland",300000,300000,300000,300000,300000,"Facebook","2019"
"true.stock[36]1","Portugal",63000,63000,63000,63000,63000,"Facebook","2019"
"true.stock[37]1","Romania",290000,290000,290000,290000,290000,"Facebook","2019"
"true.stock[38]1","Slovakia",31000,31000,31000,31000,31000,"Facebook","2019"
"true.stock[39]1","Spain",56000,56000,56000,56000,56000,"Facebook","2019"
"true.stock[40]1","Greece",1300,1300,1300,1300,1300,"Facebook","2019"
"true.stock[1]2","Austria",29630.1478458782,23451.2315183508,27301.2905278658,32152.8924640358,37579.8799443463,"Model Estimates","2018"
"true.stock[2]2","Belgium",40151.2248233302,32227.3550026427,37263.9042598199,43333.6423155006,49940.3618959826,"Model Estimates","2018"
"true.stock[3]2","Czech Republic",62076.6210176777,49980.6292902811,57526.0793268074,66968.849678717,77494.3463904364,"Model Estimates","2018"
"true.stock[4]2","Latvia",86043.7152652418,68669.7123584858,79667.1525154684,92983.1444740407,107824.114672778,"Model Estimates","2018"
"true.stock[5]2","Sweden",41666.4346458966,33491.4611789257,38645.7472025676,44901.35244526,52021.3297986926,"Model Estimates","2018"
"true.stock[6]2","France",211549.424617052,168760.972737265,195862.956918065,228927.575727517,266501.428828797,"Model Estimates","2018"
"true.stock[7]2","Germany",327370.969686134,257658.534686106,302087.758718369,354333.821493468,415771.157353265,"Model Estimates","2018"
"true.stock[8]2","Hungary",98528.9428184242,79055.7771474231,91255.1721132247,106271.944711204,122800.807949395,"Model Estimates","2018"
"true.stock[9]2","Lithuania",144147.559367766,113585.781013753,132742.607807314,156574.266674755,183296.110799386,"Model Estimates","2018"
"true.stock[10]2","Denmark",36947.7417558638,29580.1217562106,34259.283333206,39812.1866728598,46170.9261223707,"Model Estimates","2018"
"true.stock[11]2","Finland",31335.9703542685,24847.2000997358,28950.6105636197,33912.9869196363,39412.3847438604,"Model Estimates","2018"
"true.stock[12]2","Ireland",396378.139703393,312019.364569144,366043.456469286,429748.310150734,505337.233828593,"Model Estimates","2018"
"true.stock[13]2","Italy",278823.122248013,219604.220603569,257295.801606921,302228.099348559,350702.358833934,"Model Estimates","2018"
"true.stock[14]2","Netherlands",84818.1035634005,67711.9088793408,78606.049350538,91598.5936322299,106023.943495207,"Model Estimates","2018"
"true.stock[15]2","Poland",974525.697354326,760093.383262571,892466.310634151,1063483.41550425,1258110.00250786,"Model Estimates","2018"
"true.stock[16]2","Portugal",151540.364586689,120676.19537364,140120.733472483,163853.898083323,190853.534057871,"Model Estimates","2018"
"true.stock[17]2","Romania",880097.6566853,677599.968676542,806016.720495751,964210.951932661,1148343.99686549,"Model Estimates","2018"
"true.stock[18]2","Slovakia",91559.1527805544,72905.114229375,84674.8477282524,99034.0358250489,115229.754140372,"Model Estimates","2018"
"true.stock[19]2","Spain",233043.519090871,185262.847772622,215630.962290718,252064.5828355,292806.205458033,"Model Estimates","2018"
"true.stock[20]2","Greece",80782.7037368131,63815.4414029729,74394.4104566274,87734.2716581595,102776.91997441,"Model Estimates","2018"
"true.stock[21]2","Austria",25449.9389924287,20011.7532930054,23440.3021342963,27625.4552685077,32367.5218254836,"Model Estimates","2019"
"true.stock[22]2","Belgium",34582.3649737774,27791.7065465017,32113.490452782,37280.7078448506,43215.1128227824,"Model Estimates","2019"
"true.stock[23]2","Czech Republic",49599.8463641016,39803.6359796264,45930.9449325519,53457.8559314186,61813.8442689657,"Model Estimates","2019"
"true.stock[24]2","Latvia",93122.6623405649,74511.0335855341,86221.7464057788,100576.86041842,116288.76691783,"Model Estimates","2019"
"true.stock[25]2","Sweden",48374.7188123349,38846.186623477,44872.4804274645,52182.5702686476,60276.5563409945,"Model Estimates","2019"
"true.stock[26]2","France",228618.899975931,182061.964938184,211581.207862222,247601.187763319,287064.290188677,"Model Estimates","2019"
"true.stock[27]2","Germany",259558.740147955,204235.22189222,239100.046697919,281131.873028473,328698.131627103,"Model Estimates","2019"
"true.stock[28]2","Hungary",123475.935126385,98442.872116239,114159.333259447,133572.422239813,155116.677771866,"Model Estimates","2019"
"true.stock[29]2","Lithuania",142415.344044379,113139.507698198,131829.34451257,154192.334338847,178892.843865257,"Model Estimates","2019"
"true.stock[30]2","Denmark",35911.9387772426,28795.492107263,33247.7247263305,38801.3407848046,44723.6020087602,"Model Estimates","2019"
"true.stock[31]2","Finland",29172.5869122652,23225.5007791171,27013.8132207954,31490.5686813496,36412.2319057745,"Model Estimates","2019"
"true.stock[32]2","Ireland",468300.013317874,364785.763317681,429439.474486431,510486.697844145,605834.193537371,"Model Estimates","2019"
"true.stock[33]2","Italy",315146.428738813,249985.016980754,290735.190962967,341337.167441133,397275.339564924,"Model Estimates","2019"
"true.stock[34]2","Netherlands",85067.0575229905,68078.9325439553,78783.9503142257,91690.8739280065,106110.971881817,"Model Estimates","2019"
"true.stock[35]2","Poland",981898.882368362,765408.007860647,907368.385153099,1065505.90241434,1244365.08031817,"Model Estimates","2019"
"true.stock[36]2","Portugal",142773.73819268,113958.552247198,132001.565188634,154257.6168493,179133.524817338,"Model Estimates","2019"
"true.stock[37]2","Romania",569934.825246586,447827.346588052,524744.444544807,619420.045181255,722979.069526937,"Model Estimates","2019"
"true.stock[38]2","Slovakia",90847.926367979,72631.8846566916,84129.5186100229,97975.562069487,113162.739414115,"Model Estimates","2019"
"true.stock[39]2","Spain",240268.778364186,189315.013153584,221360.191125699,260370.811108416,302402.024610433,"Model Estimates","2019"
"true.stock[40]2","Greece",94326.9427050903,74418.3300951314,86974.3700157139,102373.749624918,119230.419144089,"Model Estimates","2019"
