"","country","gender","y","ymax","ymin","source","year"
"true.stock[1,1]","Austria","Female",10000,11719.387755102,8280.61224489796,"LFS","2018"
"true.stock[2,1]","Austria","Male",9000,10719.387755102,7280.61224489796,"LFS","2018"
"true.stock[1,2]","Belgium","Female",20000,22407.1428571429,17592.8571428571,"LFS","2018"
"true.stock[2,2]","Belgium","Male",16000,18063.2653061224,13936.7346938776,"LFS","2018"
"true.stock[1,3]","Czech Republic","Female",36000,39094.8979591837,32905.1020408163,"LFS","2018"
"true.stock[2,3]","Czech Republic","Male",15000,17063.2653061224,12936.7346938776,"LFS","2018"
"true.stock[1,4]","Latvia","Female",52000,55782.6530612245,48217.3469387755,"LFS","2018"
"true.stock[2,4]","Latvia","Male",44000,47438.7755102041,40561.2244897959,"LFS","2018"
"true.stock[1,5]","Sweden","Female",23000,25407.1428571429,20592.8571428571,"LFS","2018"
"true.stock[2,5]","Sweden","Male",12000,13719.387755102,10280.612244898,"LFS","2018"
"true.stock[1,6]","France","Female",103000,108158.163265306,97841.8367346939,"LFS","2018"
"true.stock[2,6]","France","Male",75000,79470.4081632653,70529.5918367347,"LFS","2018"
"true.stock[1,7]","Germany","Female",173000,179877.551020408,166122.448979592,"LFS","2018"
"true.stock[2,7]","Germany","Male",135000,140845.918367347,129154.081632653,"LFS","2018"
"true.stock[1,8]","Hungary","Female",46000,49438.7755102041,42561.2244897959,"LFS","2018"
"true.stock[2,8]","Hungary","Male",38000,41094.8979591837,34905.1020408163,"LFS","2018"
"true.stock[1,9]","Lithuania","Female",107000,112158.163265306,101841.836734694,"LFS","2018"
"true.stock[2,9]","Lithuania","Male",77000,81470.4081632653,72529.5918367347,"LFS","2018"
"true.stock[1,10]","Denmark","Female",13000,14719.387755102,11280.612244898,"LFS","2018"
"true.stock[2,10]","Denmark","Male",11000,12719.387755102,9280.61224489796,"LFS","2018"
"true.stock[1,11]","Finland","Female",10000,11719.387755102,8280.61224489796,"LFS","2019"
"true.stock[2,11]","Finland","Male",5000,6031.63265306122,3968.36734693878,"LFS","2019"
"true.stock[1,12]","Ireland","Female",214000,221565.306122449,206434.693877551,"LFS","2019"
"true.stock[2,12]","Ireland","Male",167000,173533.673469388,160466.326530612,"LFS","2019"
"true.stock[1,13]","Italy","Female",115000,120502.040816327,109497.959183673,"LFS","2019"
"true.stock[2,13]","Italy","Male",122000,127502.040816327,116497.959183673,"LFS","2019"
"true.stock[1,14]","Netherlands","Female",42000,45438.7755102041,38561.2244897959,"LFS","2019"
"true.stock[2,14]","Netherlands","Male",31000,33751.0204081633,28248.9795918367,"LFS","2019"
"true.stock[1,15]","Poland","Female",466000,477004.081632653,454995.918367347,"LFS","2019"
"true.stock[2,15]","Poland","Male",423000,433660.204081633,412339.795918367,"LFS","2019"
"true.stock[1,16]","Portugal","Female",66000,70126.5306122449,61873.4693877551,"LFS","2019"
"true.stock[2,16]","Portugal","Male",66000,70126.5306122449,61873.4693877551,"LFS","2019"
"true.stock[1,17]","Romania","Female",185000,191877.551020408,178122.448979592,"LFS","2019"
"true.stock[2,17]","Romania","Male",225000,232565.306122449,217434.693877551,"LFS","2019"
"true.stock[1,18]","Slovakia","Female",48000,51438.7755102041,44561.2244897959,"LFS","2019"
"true.stock[2,18]","Slovakia","Male",36000,39094.8979591837,32905.1020408163,"LFS","2019"
"true.stock[1,19]","Spain","Female",79000,83470.4081632653,74529.5918367347,"LFS","2019"
"true.stock[2,19]","Spain","Male",76000,80470.4081632653,71529.5918367347,"LFS","2019"
"true.stock[1,20]","Greece","Female",27000,29751.0204081633,24248.9795918367,"LFS","2019"
"true.stock[2,20]","Greece","Male",40000,43094.8979591837,36905.1020408163,"LFS","2019"
"true.stock[1,21]","Austria","Female",12000,13719.387755102,10280.612244898,"LFS","2018"
"true.stock[2,21]","Austria","Male",7000,8375.51020408163,5624.48979591837,"LFS","2018"
"true.stock[1,22]","Belgium","Female",19000,21407.1428571429,16592.8571428571,"LFS","2018"
"true.stock[2,22]","Belgium","Male",14000,16063.2653061224,11936.7346938776,"LFS","2018"
"true.stock[1,23]","Czech Republic","Female",26000,28751.0204081633,23248.9795918367,"LFS","2018"
"true.stock[2,23]","Czech Republic","Male",18000,20063.2653061224,15936.7346938776,"LFS","2018"
"true.stock[1,24]","Latvia","Female",48000,51782.6530612245,44217.3469387755,"LFS","2018"
"true.stock[2,24]","Latvia","Male",42000,45438.7755102041,38561.2244897959,"LFS","2018"
"true.stock[1,25]","Sweden","Female",26000,28751.0204081633,23248.9795918367,"LFS","2018"
"true.stock[2,25]","Sweden","Male",25000,27751.0204081633,22248.9795918367,"LFS","2018"
"true.stock[1,26]","France","Female",98000,103158.163265306,92841.8367346939,"LFS","2018"
"true.stock[2,26]","France","Male",85000,89814.2857142857,80185.7142857143,"LFS","2018"
"true.stock[1,27]","Germany","Female",168000,174877.551020408,161122.448979592,"LFS","2018"
"true.stock[2,27]","Germany","Male",137000,143189.795918367,130810.204081633,"LFS","2018"
"true.stock[1,28]","Hungary","Female",42000,45438.7755102041,38561.2244897959,"LFS","2018"
