"","Country","2.5%","25%","50%","75%","97.5%","year","source"
"sum.stock[15]","Poland",889945,1017466,1086600,1159256,1312674,"2018","Model 2"
"sum.stock[35]","Poland",844592,957358,1019411,1086294,1229183,"2019","Model 2"
"sum.stock[17]","Romania",533377,602525,642310,685091,777516,"2018","Model 2"
"sum.stock[37]","Romania",457991,518660,552103,587074,661399,"2019","Model 2"
"sum.stock[32]","Ireland",425200,480636,512684,547266,620871,"2019","Model 2"
"sum.stock[12]","Ireland",403470,456625,486423,517848,583061,"2018","Model 2"
"sum.stock[7]","Germany",295409,333242,354773,377582,425681,"2018","Model 2"
"sum.stock[33]","Italy",260231,293911,312746,332764,374892,"2019","Model 2"
"sum.stock[13]","Italy",254675,288565,307317,327329,368548,"2018","Model 2"
"sum.stock[27]","Germany",249456,281556,300077,319787,361268,"2019","Model 2"
"sum.stock[19]","Spain",194390,219027,233077,247951,279364,"2018","Model 2"
"sum.stock[39]","Spain",185574,209069,222451,236804,267793,"2019","Model 2"
"sum.stock[26]","France",183061,206420,219819,234100,264864,"2019","Model 2"
"sum.stock[6]","France",175089,197329,210034,223425,251580,"2018","Model 2"
"sum.stock[29]","Lithuania",148507,168015,178855,190219,213755,"2019","Model 2"
"sum.stock[9]","Lithuania",145546,165130,175913,187362,212160,"2018","Model 2"
"sum.stock[16]","Portugal",143307,161901,172259,183259,206138,"2018","Model 2"
"sum.stock[36]","Portugal",142653,161382,171867,182853,205863,"2019","Model 2"
"sum.stock[28]","Hungary",93568,105387,112142,119362,134935,"2019","Model 2"
"sum.stock[18]","Slovakia",89991,101843,108471,115478,129961,"2018","Model 2"
"sum.stock[8]","Hungary",84810,95490,101568,108053,121640,"2018","Model 2"
"sum.stock[24]","Latvia",81521,91719,97528,103765,116960,"2019","Model 2"
"sum.stock[34]","Netherlands",78920,89126,94815,100854,113521,"2019","Model 2"
"sum.stock[4]","Latvia",78347,88441,94103,100121,112546,"2018","Model 2"
"sum.stock[14]","Netherlands",77916,88070,93731,99744,112297,"2018","Model 2"
"sum.stock[38]","Slovakia",77046,86651,92137,97954,110139,"2019","Model 2"
"sum.stock[40]","Greece",71657,80773,86009,91647,103555,"2019","Model 2"
"sum.stock[20]","Greece",63975,72199,76948,81984,92575,"2018","Model 2"
"sum.stock[3]","Czech Republic",49207,55601,59286,63270,71710,"2018","Model 2"
"sum.stock[25]","Sweden",42424,47685,50668,53865,60544,"2019","Model 2"
"sum.stock[23]","Czech Republic",40008,44990,47857,50911,57449,"2019","Model 2"
"sum.stock[2]","Belgium",33306,37452,39823,42343,47652,"2018","Model 2"
"sum.stock[5]","Sweden",32623,36723,39095,41604,46982,"2018","Model 2"
"sum.stock[10]","Denmark",30139,33883,36033,38329,43128,"2018","Model 2"
"sum.stock[30]","Denmark",28897,32499,34557,36758,41458,"2019","Model 2"
"sum.stock[22]","Belgium",28077,31590,33594,35736,40228,"2019","Model 2"
"sum.stock[31]","Finland",24489,27608,29413,31353,35446,"2019","Model 2"
"sum.stock[1]","Austria",20899,23579,25127,26790,30454,"2018","Model 2"
"sum.stock[11]","Finland",20871,23536,25082,26742,30365,"2018","Model 2"
"sum.stock[21]","Austria",18066,20395,21751,23183,26314,"2019","Model 2"
