"","Mean","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"a0",8.64842039903469,8.3855213265728,8.55890233027767,8.6481763868593,8.73837268987242,8.91095817296194,1,27204
"a1",0.565289588382945,0.485949182077405,0.538055517858229,0.565264804665292,0.59253928223932,0.645016255756439,1,36758
"a2",0.160591801284298,0.0936822713964197,0.137524809940985,0.160617226135708,0.183585364563131,0.227594966035247,1,41898
"a3",-0.0848938612486112,-0.147104331508968,-0.10608544177355,-0.0849138660747925,-0.0635890586887035,-0.0231269866230694,1,20504
"a4",0.586096941232741,0.511049721054019,0.560720468607956,0.586315004753724,0.611720273636257,0.660479914720637,1,21110
"a5",0.185779752806422,0.108350720957497,0.159153927711956,0.185762717084161,0.212509432226684,0.26339021985634,1,41718
"bias.fb",-0.476074716844758,-0.626264752773655,-0.527986106557121,-0.476190686701633,-0.424200257807472,-0.324626894312172,1,236791
"bias.lfs[1,1]",-0.15326074863938,-0.340158260430498,-0.217348036954749,-0.153215332271404,-0.089229264567046,0.0331222817534829,1,249924
"bias.lfs[2,1]",-0.149203168849983,-0.335292005159338,-0.213535028621749,-0.149065842164148,-0.0851752321088685,0.0368707026162888,1,251876
"bias.lfs[1,2]",-0.0575687702600435,-0.24339946607122,-0.120983005013194,-0.0577928682650535,0.00646801119268035,0.128048018076619,1,175091
"bias.lfs[2,2]",-0.0785123410043133,-0.263072470754595,-0.142386340197843,-0.0785326874892287,-0.0149674812424275,0.106694773094965,1,194635
"bias.lfs[1,3]",-0.0631195082284491,-0.248239422233777,-0.126740162486425,-0.0631083852427458,0.000438439637208975,0.122000021325858,1,123603
"bias.lfs[2,3]",-0.151147969865034,-0.336509981863431,-0.21493973131342,-0.15117029558058,-0.0875532727197079,0.0341016023670337,1,192537
"bias.lfs[1,4]",0.00442465249787245,-0.181047311862562,-0.0593672593779685,0.00463982375213438,0.0684384644474248,0.189294279985184,1,80768
"bias.lfs[2,4]",-0.0264315443124471,-0.212149675545601,-0.0903269334197013,-0.0263701456019989,0.0375177443109296,0.159887560709234,1,81919
"bias.lfs[1,5]",-0.0381762359718125,-0.223159687240065,-0.10179927906969,-0.0382072435406452,0.025618820045939,0.146267219274203,1,146226
"bias.lfs[2,5]",-0.129557230866834,-0.315278391534565,-0.193251266114061,-0.129534030916188,-0.0657691088392388,0.0561736323207285,1,216024
"bias.lfs[1,6]",-0.128343234418518,-0.312989076109217,-0.192014138937282,-0.128507526529341,-0.0648989722144103,0.0576023494713215,1,41854
"bias.lfs[2,6]",-0.167057742315591,-0.352561873577292,-0.231128906903416,-0.167099184622413,-0.103067754587879,0.0184271445315235,1,63729
"bias.lfs[1,7]",-0.11596814408534,-0.302335692810346,-0.179984641218565,-0.116069956933565,-0.0522583114079563,0.0709662541225281,1,19910
"bias.lfs[2,7]",-0.15518277149576,-0.341768229874989,-0.219253218234383,-0.155186621403285,-0.090914183328654,0.0313858803050776,1,27838
"bias.lfs[1,8]",-0.151119704256196,-0.337811782823383,-0.214744213629594,-0.150915974001627,-0.0872298886840611,0.034436989517932,1,86919
"bias.lfs[2,8]",-0.163143497797662,-0.347869137495598,-0.226950327754719,-0.163139409394699,-0.0999106714417778,0.0227155336003659,1,98236
