"","Country","year","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"true.stock[35]","Poland","2019",765408,907368,981899,1065506,1244365,1.01,750
"true.stock[15]","Poland","2018",760093,892466,974526,1063483,1258110,1.01,691
"true.stock[17]","Romania","2018",677600,806017,880098,964211,1148344,1,1118
"true.stock[37]","Romania","2019",447827,524744,569935,619420,722979,1,1634
"true.stock[32]","Ireland","2019",364786,429439,468300,510487,605834,1,2184
"true.stock[12]","Ireland","2018",312019,366043,396378,429748,505337,1,2263
"true.stock[7]","Germany","2018",257659,302088,327371,354334,415771,1,2951
"true.stock[33]","Italy","2019",249985,290735,315146,341337,397275,1,7198
"true.stock[13]","Italy","2018",219604,257296,278823,302228,350702,1,6285
"true.stock[27]","Germany","2019",204235,239100,259559,281132,328698,1,2794
"true.stock[39]","Spain","2019",189315,221360,240269,260371,302402,1,8900
"true.stock[19]","Spain","2018",185263,215631,233044,252065,292806,1,10441
"true.stock[26]","France","2019",182062,211581,228619,247601,287064,1,9144
"true.stock[6]","France","2018",168761,195863,211549,228928,266501,1,7690
"true.stock[16]","Portugal","2018",120676,140121,151540,163854,190854,1,8201
"true.stock[9]","Lithuania","2018",113586,132743,144148,156574,183296,1,6202
"true.stock[36]","Portugal","2019",113959,132002,142774,154258,179134,1,7969
"true.stock[29]","Lithuania","2019",113140,131829,142415,154192,178893,1,6498
"true.stock[28]","Hungary","2019",98443,114159,123476,133572,155117,1,10972
"true.stock[8]","Hungary","2018",79056,91255,98529,106272,122801,1,12526
"true.stock[40]","Greece","2019",74418,86974,94327,102374,119230,1,15020
"true.stock[24]","Latvia","2019",74511,86222,93123,100577,116289,1,10416
"true.stock[18]","Slovakia","2018",72905,84675,91559,99034,115230,1,10661
"true.stock[38]","Slovakia","2019",72632,84130,90848,97976,113163,1,13049
"true.stock[4]","Latvia","2018",68670,79667,86044,92983,107824,1,12484
"true.stock[34]","Netherlands","2019",68079,78784,85067,91691,106111,1,10582
"true.stock[14]","Netherlands","2018",67712,78606,84818,91599,106024,1,11123
"true.stock[20]","Greece","2018",63815,74394,80783,87734,102777,1,18610
"true.stock[3]","Czech Republic","2018",49981,57526,62077,66969,77494,1,16578
"true.stock[23]","Czech Republic","2019",39804,45931,49600,53458,61814,1,18377
"true.stock[25]","Sweden","2019",38846,44872,48375,52183,60277,1,21065
"true.stock[5]","Sweden","2018",33491,38646,41666,44901,52021,1,21766
"true.stock[2]","Belgium","2018",32227,37264,40151,43334,49940,1,24301
"true.stock[10]","Denmark","2018",29580,34259,36948,39812,46171,1,20233
"true.stock[30]","Denmark","2019",28795,33248,35912,38801,44724,1,19414
"true.stock[22]","Belgium","2019",27792,32113,34582,37281,43215,1,20799
"true.stock[11]","Finland","2018",24847,28951,31336,33913,39412,1,17586
"true.stock[1]","Austria","2018",23451,27301,29630,32153,37580,1,14781
"true.stock[31]","Finland","2019",23226,27014,29173,31491,36412,1,20361
"true.stock[21]","Austria","2019",20012,23440,25450,27625,32368,1,13042
